Country,C-rate,number of cycles,yearly profits [kEUR/MW],levelized ROI [%]
CZ,0.5,2.0,396.56,148.11
CZ,0.5,1.5,396.48,148.07
CZ,0.5,1.0,395.7,147.55
AT,0.5,2.0,257.56,88.87
AT,0.5,1.5,255.2,87.03
AT,0.5,1.0,247.53,81.0
CZ,0.33,1.5,405.0,76.89
CZ,0.33,2.0,404.99,76.88
CZ,0.33,1.0,404.32,76.57
DE,0.5,2.0,245.14,69.49
DE,0.5,1.5,244.79,69.23
DE,0.5,1.0,241.2,66.55
CZ,0.25,2.0,410.01,38.4
CZ,0.25,1.5,410.01,38.4
CZ,0.25,1.0,409.57,38.24
AT,0.33,2.0,263.61,33.7
AT,0.33,1.5,263.2,33.47
CH,0.5,2.0,211.11,32.91
CH,0.5,1.5,211.09,32.89
CH,0.5,1.0,210.88,32.74
AT,0.33,1.0,259.1,31.18
DE,0.33,2.0,254.14,21.32
DE,0.33,1.5,254.06,21.27
DE,0.33,1.0,252.8,20.61
AT,0.25,2.0,266.53,3.5
AT,0.25,1.5,266.53,3.5
AT,0.25,1.0,265.09,2.86
DE,0.25,2.0,259.33,-5.35
DE,0.25,1.5,259.33,-5.35
DE,0.25,1.0,259.03,-5.47
CH,0.33,2.0,213.78,-8.12
CH,0.33,1.5,213.74,-8.14
CH,0.33,1.0,213.56,-8.23
CH,0.25,1.5,215.66,-29.91
CH,0.25,2.0,215.64,-29.92
CH,0.25,1.0,215.49,-29.98
HU,0.5,2.0,58.34,-74.25
HU,0.5,1.5,58.2,-74.33
HU,0.5,1.0,57.14,-74.99
HU,0.33,1.5,69.87,-79.59
HU,0.33,2.0,69.85,-79.6
HU,0.33,1.0,68.61,-80.14
HU,0.25,1.5,78.87,-83.04
HU,0.25,2.0,78.83,-83.05
HU,0.25,1.0,77.59,-83.47
