Stored energy [MWh],SoC [-],Charge [MWh],Discharge [MWh],Day-ahead buy [MWh],Day-ahead sell [MWh],FCR Capacity [MW],aFRR Capacity POS [MW],aFRR Capacity NEG [MW]
2.94539424097413,0.6586301969977928,0.2795,0.0,0.2795,0.0,1.118,0.0,0.0
3.20758848194826,0.7172603939955857,0.2795,0.0,0.2795,0.0,1.118,0.0,0.0
3.4697827229223894,0.7758905909933786,0.2795,0.0,0.2795,0.0,1.118,0.0,0.0
3.7319769638965195,0.8345207879911716,0.2795,0.0,0.2795,0.0,1.118,0.0,0.0
3.9941712048706495,0.8931509849889645,0.2795,0.0,0.2795,0.0,1.118,0.0,0.0
4.022903561546472,0.8995759305783702,0.030628795129350846,0.0,0.030628795129350846,0.0,1.118,0.0,0.0
4.024682578508465,0.8999737429580645,0.0018964384535287745,0.0,0.0018964384535287745,0.0,1.118,0.0,0.0
4.024792729631353,0.8999983742467247,0.00011742149153548721,0.0,0.00011742149153548721,0.0,1.118,0.0,0.0
4.02479954984169,0.8999998993384816,7.270368647303017e-06,0.0,7.270368647303017e-06,0.0,1.118,0.0,0.0
4.024799972127616,0.8999999937673561,4.501583105263052e-07,0.0,4.501583105263052e-07,0.0,1.118,0.0,0.0
4.02479999827423,0.8999999996140944,2.7872383773441814e-08,0.0,2.7872383773441814e-08,0.0,1.118,0.0,0.0
4.024799999893146,0.8999999999761059,1.7257700255512989e-09,0.0,1.7257700255512989e-09,0.0,1.118,0.0,0.0
4.024799999993384,0.8999999999985205,1.0685445506197767e-10,0.0,1.0685445506197767e-10,0.0,1.118,0.0,0.0
4.0247999999995905,0.8999999999999084,6.616248882096443e-12,0.0,6.616248882096443e-12,0.0,1.118,0.0,0.0
4.024799999999975,0.8999999999999944,4.096056827052053e-13,0.0,4.096056827052053e-13,0.0,1.118,0.0,0.0
4.024799999999999,0.8999999999999997,2.5321078567230874e-14,0.0,2.5321078567230874e-14,0.0,1.118,0.0,0.0
4.024800000000001,0.9,1.48947520983711e-15,0.0,1.48947520983711e-15,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
4.024800000000001,0.9,0.0,0.0,0.0,0.0,1.118,0.0,0.0
